(honor) PS C:\Users\hengr\Programs\Projects\CPINN\Poisson> python .\train_1Dis_CGD.py
True
cuda
PINN_Poisson_2d(
  (activation): Tanh()
  (loss_function): MSELoss()
  (linears): ModuleList(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1-2): 2 x Linear(in_features=50, out_features=50, bias=True)
    (3): Linear(in_features=50, out_features=1, bias=True)
  )
)
Discriminator(
  (map): Sequential(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1): ReLU()
    (2): Linear(in_features=50, out_features=50, bias=True)
    (3): ReLU()
    (4): Linear(in_features=50, out_features=50, bias=True)
    (5): ReLU()
    (6): Linear(in_features=50, out_features=50, bias=True)
    (7): ReLU()
    (8): Linear(in_features=50, out_features=2, bias=True)
  )
)
PINN_Poisson_2d(
  (activation): Tanh()
  (loss_function): MSELoss()
  (linears): ModuleList(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1-2): 2 x Linear(in_features=50, out_features=50, bias=True)
    (3): Linear(in_features=50, out_features=1, bias=True)
  )
)
Discriminator(
  (map): Sequential(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1): ReLU()
    (2): Linear(in_features=50, out_features=50, bias=True)
    (3): ReLU()
    (4): Linear(in_features=50, out_features=50, bias=True)
    (5): ReLU()
    (6): Linear(in_features=50, out_features=50, bias=True)
    (7): ReLU()
    (8): Linear(in_features=50, out_features=2, bias=True)
  )
)
0/60001 PDE Loss: 1.04261, BC Loss: 0.53053,                   mse loss: 1.573135, nn loss: -0.009515
500/60001 PDE Loss: 1.65717, BC Loss: 0.43317,                   mse loss: 2.090342, nn loss: -0.022840
1000/60001 PDE Loss: 0.28337, BC Loss: 0.06133,                   mse loss: 0.344706, nn loss: -0.009817
1500/60001 PDE Loss: 0.06233, BC Loss: 0.03120,                   mse loss: 0.093533, nn loss: 0.005829
2000/60001 PDE Loss: 0.04429, BC Loss: 0.01660,                   mse loss: 0.060893, nn loss: 0.007776
2500/60001 PDE Loss: 0.02419, BC Loss: 0.01685,                   mse loss: 0.041036, nn loss: 0.004067
3000/60001 PDE Loss: 0.03068, BC Loss: 0.00621,                   mse loss: 0.036891, nn loss: 0.007381
3500/60001 PDE Loss: 0.02915, BC Loss: 0.00798,                   mse loss: 0.037136, nn loss: 0.009555
4000/60001 PDE Loss: 0.02302, BC Loss: 0.01073,                   mse loss: 0.033750, nn loss: 0.012295
4500/60001 PDE Loss: 0.01998, BC Loss: 0.00697,                   mse loss: 0.026957, nn loss: 0.017108
5000/60001 PDE Loss: 0.01530, BC Loss: 0.00610,                   mse loss: 0.021397, nn loss: 0.022958
5500/60001 PDE Loss: 0.01040, BC Loss: 0.00520,                   mse loss: 0.015600, nn loss: 0.029842
6000/60001 PDE Loss: 0.06994, BC Loss: 0.00633,                   mse loss: 0.076274, nn loss: -0.022865
6500/60001 PDE Loss: 0.06806, BC Loss: 0.02282,                   mse loss: 0.090874, nn loss: 0.019901
7000/60001 PDE Loss: 0.02072, BC Loss: 0.01133,                   mse loss: 0.032052, nn loss: 0.001799
7500/60001 PDE Loss: 0.00649, BC Loss: 0.00561,                   mse loss: 0.012097, nn loss: 0.004516
8000/60001 PDE Loss: 0.00762, BC Loss: 0.00546,                   mse loss: 0.013084, nn loss: 0.004911
8500/60001 PDE Loss: 0.00579, BC Loss: 0.00311,                   mse loss: 0.008902, nn loss: 0.004741
9000/60001 PDE Loss: 0.00730, BC Loss: 0.00285,                   mse loss: 0.010147, nn loss: 0.004028
9500/60001 PDE Loss: 0.00428, BC Loss: 0.00302,                   mse loss: 0.007292, nn loss: 0.003529
10000/60001 PDE Loss: 0.00791, BC Loss: 0.00429,                   mse loss: 0.012203, nn loss: 0.004106
10500/60001 PDE Loss: 0.00472, BC Loss: 0.00335,                   mse loss: 0.008074, nn loss: 0.004204
11000/60001 PDE Loss: 0.00386, BC Loss: 0.00269,                   mse loss: 0.006549, nn loss: 0.004780
11500/60001 PDE Loss: 0.00198, BC Loss: 0.00229,                   mse loss: 0.004271, nn loss: 0.005321
12000/60001 PDE Loss: 0.00167, BC Loss: 0.00169,                   mse loss: 0.003355, nn loss: 0.004666
12500/60001 PDE Loss: 0.00195, BC Loss: 0.00119,                   mse loss: 0.003143, nn loss: 0.004173
13000/60001 PDE Loss: 0.00220, BC Loss: 0.00111,                   mse loss: 0.003310, nn loss: 0.003968
13500/60001 PDE Loss: 0.00232, BC Loss: 0.00088,                   mse loss: 0.003194, nn loss: 0.003583
14000/60001 PDE Loss: 0.00217, BC Loss: 0.00051,                   mse loss: 0.002686, nn loss: 0.003093
14500/60001 PDE Loss: 0.00196, BC Loss: 0.00021,                   mse loss: 0.002172, nn loss: 0.002752
15000/60001 PDE Loss: 0.00168, BC Loss: 0.00019,                   mse loss: 0.001872, nn loss: 0.002117
15500/60001 PDE Loss: 0.00180, BC Loss: 0.00019,                   mse loss: 0.001985, nn loss: 0.001746
16000/60001 PDE Loss: 0.00172, BC Loss: 0.00021,                   mse loss: 0.001930, nn loss: 0.001627
16500/60001 PDE Loss: 0.00150, BC Loss: 0.00029,                   mse loss: 0.001787, nn loss: 0.001521
17000/60001 PDE Loss: 0.00127, BC Loss: 0.00029,                   mse loss: 0.001562, nn loss: 0.001280
17500/60001 PDE Loss: 0.00122, BC Loss: 0.00025,                   mse loss: 0.001470, nn loss: 0.000968
18000/60001 PDE Loss: 0.00103, BC Loss: 0.00022,                   mse loss: 0.001253, nn loss: 0.000819
18500/60001 PDE Loss: 0.00089, BC Loss: 0.00017,                   mse loss: 0.001056, nn loss: 0.000734
19000/60001 PDE Loss: 0.00085, BC Loss: 0.00014,                   mse loss: 0.000990, nn loss: 0.000544
19500/60001 PDE Loss: 0.00087, BC Loss: 0.00015,                   mse loss: 0.001019, nn loss: 0.000466
20000/60001 PDE Loss: 0.00086, BC Loss: 0.00018,                   mse loss: 0.001043, nn loss: 0.000445
20500/60001 PDE Loss: 0.00097, BC Loss: 0.00023,                   mse loss: 0.001206, nn loss: 0.000375
21000/60001 PDE Loss: 0.00121, BC Loss: 0.00031,                   mse loss: 0.001522, nn loss: 0.000393
21500/60001 PDE Loss: 0.00134, BC Loss: 0.00030,                   mse loss: 0.001637, nn loss: 0.000574
22000/60001 PDE Loss: 0.00120, BC Loss: 0.00020,                   mse loss: 0.001403, nn loss: 0.000672
22500/60001 PDE Loss: 0.00110, BC Loss: 0.00017,                   mse loss: 0.001270, nn loss: 0.000684
23000/60001 PDE Loss: 0.00096, BC Loss: 0.00016,                   mse loss: 0.001121, nn loss: 0.000617
